seed_album_id,artist_name,album_title,release_year,artist_countryiso3code,artist_country_name,primary_genre,metal_subgenre,artist_language_code,artist_language_name,language_coding_source,seed_inclusion_rule,notes
metallica_load_1996,Metallica,Load,1996,USA,United States,heavy_metal,heavy_thrash_metal,eng,English,manual_project_coding_from_album_lyrics,tier_a_global_anchor,"Global anchor album for baseline chart-hit extraction."
metallica_death_magnetic_2008,Metallica,Death Magnetic,2008,USA,United States,heavy_metal,thrash_metal,eng,English,manual_project_coding_from_album_lyrics,tier_a_global_anchor,"Global anchor album for baseline chart-hit extraction."
metallica_72_seasons_2023,Metallica,72 Seasons,2023,USA,United States,heavy_metal,heavy_thrash_metal,eng,English,manual_project_coding_from_album_lyrics,tier_a_global_anchor,"Seed-refresh addition with official ARIA overlap; first public ARIA albums-chart date is 2023-04-24 and peak is 1."
iron_maiden_brave_new_world_2000,Iron Maiden,Brave New World,2000,GBR,United Kingdom,heavy_metal,traditional_heavy_metal,eng,English,manual_project_coding_from_album_lyrics,tier_a_global_anchor,"Global anchor album for baseline chart-hit extraction."
iron_maiden_the_book_of_souls_2015,Iron Maiden,The Book of Souls,2015,GBR,United Kingdom,heavy_metal,traditional_heavy_metal,eng,English,manual_project_coding_from_album_lyrics,tier_a_global_anchor,"Already present in the UK and Italy pilot extraction."
iron_maiden_senjutsu_2021,Iron Maiden,Senjutsu,2021,GBR,United Kingdom,heavy_metal,traditional_heavy_metal,eng,English,manual_project_coding_from_album_lyrics,tier_a_global_anchor,"Seed-refresh addition with official ARIA overlap; first public ARIA albums-chart date is 2021-09-13 and peak is 3."
sepultura_roots_1996,Sepultura,Roots,1996,BRA,Brazil,extreme_metal,groove_thrash_metal,eng,English,manual_project_coding_from_album_lyrics,tier_a_global_anchor,"Brazil anchor case for the domestic-hit mechanism."
rammstein_sehnsucht_1997,Rammstein,Sehnsucht,1997,DEU,Germany,industrial_metal,industrial_metal,deu,German,manual_project_coding_from_album_lyrics,tier_a_global_anchor,"German-language anchor album with cross-market reach."
rammstein_mutter_2001,Rammstein,Mutter,2001,DEU,Germany,industrial_metal,industrial_metal,deu,German,manual_project_coding_from_album_lyrics,tier_a_global_anchor,"German-language anchor album with cross-market reach."
rammstein_zeit_2022,Rammstein,Zeit,2022,DEU,Germany,industrial_metal,industrial_metal,deu,German,manual_project_coding_from_album_lyrics,tier_a_global_anchor,"Seed-refresh addition with official ARIA overlap; first public ARIA albums-chart date is 2022-05-09 and peak is 3."
nightwish_once_2004,Nightwish,Once,2004,FIN,Finland,symphonic_metal,symphonic_metal,eng,English,manual_project_coding_from_album_lyrics,tier_a_global_anchor,"Finnish anchor album with strong cross-country visibility."
nightwish_dark_passion_play_2007,Nightwish,Dark Passion Play,2007,FIN,Finland,symphonic_metal,symphonic_metal,eng,English,manual_project_coding_from_album_lyrics,tier_a_global_anchor,"Finnish anchor album with strong cross-country visibility."
judas_priest_invincible_shield_2024,Judas Priest,Invincible Shield,2024,GBR,United Kingdom,heavy_metal,traditional_heavy_metal,eng,English,manual_project_coding_from_album_lyrics,tier_a_global_anchor,"Seed-refresh addition with official ARIA overlap; first public ARIA albums-chart date is 2024-03-18 and peak is 16."
lacuna_coil_comalies_2002,Lacuna Coil,Comalies,2002,ITA,Italy,gothic_metal,gothic_alternative_metal,eng,English,manual_project_coding_from_album_lyrics,tier_b_home_market_flagship,"Historical Italian flagship benchmark, but the official FIMI title page currently returns no chart or certification evidence."
lacuna_coil_karmacode_2006,Lacuna Coil,Karmacode,2006,ITA,Italy,gothic_metal,gothic_alternative_metal,eng,English,manual_project_coding_from_album_lyrics,tier_b_home_market_flagship,"Italian flagship case with exact official FIMI chart evidence; first entry in week 14 of 2006, peak 17, and a run reaching 20 weeks."
lacuna_coil_delirium_2016,Lacuna Coil,Delirium,2016,ITA,Italy,gothic_metal,gothic_alternative_metal,eng,English,manual_project_coding_from_album_lyrics,tier_b_home_market_flagship,"Italian flagship case with exact official FIMI chart evidence; peak 11 in week 22 of 2016."
nightwish_human_ii_nature_2020,Nightwish,"Human. :II: Nature.",2020,FIN,Finland,symphonic_metal,symphonic_metal,eng,English,manual_project_coding_from_album_lyrics,tier_b_home_market_flagship,"Seed-refresh addition with official ARIA overlap; first public ARIA albums-chart date is 2020-04-20 and peak is 7."
lacuna_coil_black_anima_2019,Lacuna Coil,Black Anima,2019,ITA,Italy,gothic_metal,gothic_alternative_metal,eng,English,manual_project_coding_from_album_lyrics,tier_b_home_market_flagship,"Seed-refresh addition with official ARIA overlap; first public ARIA albums-chart date is 2019-10-21 and peak is 47."
rhapsody_power_of_the_dragonflame_2002,Rhapsody,Power of the Dragonflame,2002,ITA,Italy,power_metal,symphonic_power_metal,eng,English,manual_project_coding_from_album_lyrics,tier_b_home_market_flagship,"Italian flagship case with exact official FIMI chart evidence; peak 15 in week 13 of 2002."
rhapsody_of_fire_triumph_or_agony_2006,Rhapsody of Fire,Triumph or Agony,2006,ITA,Italy,power_metal,symphonic_power_metal,eng,English,manual_project_coding_from_album_lyrics,tier_b_home_market_flagship,"Italian flagship case with exact official FIMI chart evidence; peak 18 in week 40 of 2006."
angra_rebirth_2001,Angra,Rebirth,2001,BRA,Brazil,power_metal,power_metal,eng,English,manual_project_coding_from_album_lyrics,tier_b_home_market_flagship,"Brazilian flagship case with reported gold certification at home."
angra_temple_of_shadows_2004,Angra,Temple of Shadows,2004,BRA,Brazil,power_metal,progressive_power_metal,eng,English,manual_project_coding_from_album_lyrics,tier_b_home_market_flagship,"Brazilian flagship case with reported ABPD top-10 chart evidence."
sepultura_nation_2001,Sepultura,Nation,2001,BRA,Brazil,extreme_metal,groove_thrash_metal,eng,English,manual_project_coding_from_album_lyrics,tier_b_home_market_flagship,"Brazilian flagship case with reported home-market gold certification after Roots."
children_of_bodom_are_you_dead_yet_2005,Children of Bodom,Are You Dead Yet?,2005,FIN,Finland,extreme_metal,melodic_death_metal,eng,English,manual_project_coding_from_album_lyrics,tier_b_home_market_flagship,"Finnish flagship case closer to the extreme-metal margin."
sabaton_carolus_rex_2012,Sabaton,Carolus Rex,2012,SWE,Sweden,power_metal,power_metal,mul,Multiple,manual_project_coding_from_album_lyrics,tier_b_home_market_flagship,"Swedish flagship case; album circulated in both Swedish and English versions."
sabaton_the_last_stand_2016,Sabaton,The Last Stand,2016,SWE,Sweden,power_metal,power_metal,eng,English,manual_project_coding_from_album_lyrics,tier_b_home_market_flagship,"Swedish flagship case with broader international reach."
sabaton_the_war_to_end_all_wars_2022,Sabaton,The War to End All Wars,2022,SWE,Sweden,power_metal,power_metal,eng,English,manual_project_coding_from_album_lyrics,tier_b_home_market_flagship,"Seed-refresh addition with official ARIA overlap; first public ARIA albums-chart date is 2022-03-14 and peak is 25."
ghost_meliora_2015,Ghost,Meliora,2015,SWE,Sweden,heavy_metal,traditional_heavy_metal,eng,English,manual_project_coding_from_album_lyrics,tier_b_home_market_flagship,"Swedish flagship case with clear cross-market potential."
ghost_impera_2022,Ghost,Impera,2022,SWE,Sweden,heavy_metal,traditional_heavy_metal,eng,English,manual_project_coding_from_album_lyrics,tier_a_global_anchor,"Recent global anchor album for the modern chart era."
gojira_magma_2016,Gojira,Magma,2016,FRA,France,extreme_metal,progressive_groove_metal,eng,English,manual_project_coding_from_album_lyrics,tier_b_home_market_flagship,"French flagship case for non-Anglophone home-market success."
gojira_fortitude_2021,Gojira,Fortitude,2021,FRA,France,extreme_metal,progressive_groove_metal,eng,English,manual_project_coding_from_album_lyrics,tier_b_home_market_flagship,"Seed-refresh addition with official ARIA overlap; first public ARIA albums-chart date is 2021-05-10 and peak is 3."
dimmu_borgir_death_cult_armageddon_2003,Dimmu Borgir,Death Cult Armageddon,2003,NOR,Norway,extreme_metal,symphonic_black_metal,eng,English,manual_project_coding_from_album_lyrics,tier_b_home_market_flagship,"Norwegian flagship case with official certification evidence at home."
