artist_name,album_title,release_year,artist_countryiso3code,artist_country_name,primary_genre,metal_subgenre,artist_language_code,artist_language_name,language_coding_source,seed_inclusion_rule,refresh_rationale
Metallica,72 Seasons,2023,USA,United States,heavy_metal,heavy_thrash_metal,eng,English,manual_project_coding_from_album_lyrics,tier_a_global_anchor,Modern global anchor candidate aimed at expanding ARIA-window overlap.
Iron Maiden,Senjutsu,2021,GBR,United Kingdom,heavy_metal,traditional_heavy_metal,eng,English,manual_project_coding_from_album_lyrics,tier_a_global_anchor,Modern global anchor candidate aimed at expanding ARIA-window overlap.
Rammstein,Zeit,2022,DEU,Germany,industrial_metal,industrial_metal,deu,German,manual_project_coding_from_album_lyrics,tier_a_global_anchor,Modern German-language flagship with potential official modern chart overlap.
Nightwish,"Human. :II: Nature.",2020,FIN,Finland,symphonic_metal,symphonic_metal,eng,English,manual_project_coding_from_album_lyrics,tier_b_home_market_flagship,Modern Finnish flagship candidate aimed at expanding ARIA-window overlap.
Lacuna Coil,Black Anima,2019,ITA,Italy,gothic_metal,gothic_alternative_metal,eng,English,manual_project_coding_from_album_lyrics,tier_b_home_market_flagship,Modern Italian flagship candidate aimed at expanding ARIA-window overlap.
Gojira,Fortitude,2021,FRA,France,extreme_metal,progressive_groove_metal,eng,English,manual_project_coding_from_album_lyrics,tier_b_home_market_flagship,Modern French flagship candidate aimed at expanding ARIA-window overlap.
Sabaton,The War to End All Wars,2022,SWE,Sweden,power_metal,power_metal,eng,English,manual_project_coding_from_album_lyrics,tier_b_home_market_flagship,Modern Swedish flagship candidate aimed at expanding ARIA-window overlap.
Powerwolf,Wake Up the Wicked,2024,DEU,Germany,power_metal,power_metal,eng,English,manual_project_coding_from_album_lyrics,tier_b_home_market_flagship,Recent German flagship candidate tested for modern public-source overlap.
Judas Priest,Invincible Shield,2024,GBR,United Kingdom,heavy_metal,traditional_heavy_metal,eng,English,manual_project_coding_from_album_lyrics,tier_a_global_anchor,Modern global anchor candidate aimed at expanding ARIA-window overlap.
Lamb of God,Omens,2022,USA,United States,extreme_metal,groove_metal,eng,English,manual_project_coding_from_album_lyrics,tier_b_home_market_flagship,Recent U.S. flagship candidate tested for modern public-source overlap.
Pantera,The Great Southern Trendkill,1996,USA,United States,heavy_metal,groove_thrash_metal,eng,English,manual_project_coding_from_album_lyrics,tier_b_home_market_flagship,U.S. certification-path candidate for the RIAA supplement.
Lamb of God,Ashes of the Wake,2004,USA,United States,extreme_metal,groove_metal,eng,English,manual_project_coding_from_album_lyrics,tier_b_home_market_flagship,U.S. certification-path candidate for the RIAA supplement.
Slipknot,All Hope Is Gone,2008,USA,United States,heavy_metal,groove_nu_metal,eng,English,manual_project_coding_from_album_lyrics,tier_b_home_market_flagship,U.S. certification-path candidate for the RIAA supplement.
Disturbed,Immortalized,2015,USA,United States,heavy_metal,alternative_heavy_metal,eng,English,manual_project_coding_from_album_lyrics,tier_b_home_market_flagship,U.S. certification-path candidate for the RIAA supplement.
