metric,target,model,notes
benchmark_I,,60,"Benchmark household grid size"
benchmark_J,,14,"Benchmark housing grid size"
birth_utility_1,,0.85,"Benchmark parity-specific birth utility"
birth_utility_2,,1.10,"Benchmark parity-specific birth utility"
birth_utility_3,,1.20,"Benchmark parity-specific birth utility"
child_utility,,0.02,"Benchmark flow utility from children at home"
birth_cost,,0.06,"Benchmark common birth cost"
birth_price_coeff,,0.24,"Benchmark birth-price penalty"
lambda_crowd,,0.18,"Benchmark crowding parameter"
share_parity_0,0.165,0.223715646656335,"Completed fertility at age 50, a_price=2.0"
share_parity_1,0.193,0.255602512782425,"Completed fertility at age 50, a_price=2.0"
share_parity_2,0.357,0.292729382106203,"Completed fertility at age 50, a_price=2.0"
share_parity_3plus,0.285,0.227952458455037,"Completed fertility at age 50, a_price=2.0"
share_home_any_40,,0.718947966240769,"Temporary children-at-home readout at age 40, a_price=2.0"
share_home_any_50,,0.695708483372948,"Temporary children-at-home readout at age 50, a_price=2.0"
mean_home_children_40,,1.09650232669866,"Temporary children-at-home readout at age 40, a_price=2.0"
mean_home_children_50,,1.26490888045426,"Temporary children-at-home readout at age 50, a_price=2.0"
market_sign_changes,,1,"Benchmark market grid 1.5:0.25:3.5"
market_refined_price,,1.774665,"Unique market-clearing estimate"
